x,y,z
0.40625,0.609375,-0.32000000000000006
0.40625,0.5703125,-0.2749999999999999
0.40625,0.53125,-0.33000000000000007
0.40625,0.4921875,-0.33499999999999996
0.40625,0.453125,-0.345
0.40625,0.4140625,-0.355
0.40625,0.375,-0.3600000000000001
0.40625,0.3359375,-0.3799999999999999
0.40625,0.296875,-0.3899999999999999
0.40625,0.2578125,-0.41500000000000004
0.40625,0.21875,-0.45500000000000007
0.4453125,0.609375,-0.3899999999999999
0.4453125,0.5703125,-0.32000000000000006
0.4453125,0.53125,-0.32000000000000006
0.4453125,0.4921875,-0.365
0.4453125,0.453125,-0.3999999999999999
0.4453125,0.4140625,-0.42500000000000004
0.4453125,0.375,-0.42500000000000004
0.4453125,0.3359375,-0.41500000000000004
0.4453125,0.296875,-0.4099999999999999
0.4453125,0.2578125,-0.44999999999999996
0.484375,0.453125,-0.4099999999999999
